num__Soil_pH,num__Soil_Moisture,num__Organic_Carbon,num__Electrical_Conductivity,num__Temperature_C,num__Humidity,num__Rainfall_mm,num__Sunlight_Hours,cat__Soil_Type,cat__Wind_Speed_kmh,cat__Crop_Type,cat__Crop_Growth_Stage,cat__Season,cat__Irrigation_Type,cat__Water_Source,cat__Field_Area_hectare,cat__Mulching_Used,cat__Previous_Irrigation_mm,cat__Region
5.72,12.5,0.52,0.11,20.41,87.99,1420.72,8.84,Silt,19.58,Cotton,Flowering,Rabi,Drip,Reservoir,3.98,Yes,10.44,Central
4.81,30.33,0.96,0.46,29.45,42.47,1538.53,8.84,Silt,13.59,Potato,Vegetative,Zaid,Rainfed,Groundwater,2.35,Yes,67.24,Central
5.49,54.62,0.82,0.52,37.71,47.89,2241.03,10.68,Sandy,2.21,Wheat,Harvest,Kharif,Rainfed,River,9.5,No,29.99,South
5.18,55.87,0.89,0.64,29.05,90.51,989.86,9.95,Sandy,14.79,Sugarcane,Sowing,Kharif,Canal,Groundwater,9.94,No,113.34,East
7.6,52.28,1.34,2.91,17.62,76.32,145.64,5.56,Clay,14.57,Rice,Sowing,Rabi,Drip,Rainwater,2.51,No,13.51,Central
5.56,34.69,1.54,1.27,35.98,31.79,1868.68,10.33,Silt,4.32,Wheat,Flowering,Kharif,Rainfed,Groundwater,11.99,Yes,91.09,North
8.03,64.72,0.54,3.12,24.69,36.87,959.67,9.8,Sandy,11.03,Potato,Harvest,Zaid,Canal,Groundwater,6.86,No,54.84,South
5.03,37.04,0.33,1.79,24.4,82.42,1687.03,7.6,Clay,7.42,Sugarcane,Vegetative,Zaid,Rainfed,River,4.86,Yes,81.29,West
5.39,20.47,1.24,2.37,35.15,74.21,526.7,10.29,Silt,19.83,Sugarcane,Vegetative,Kharif,Canal,Reservoir,1.07,Yes,92.16,East
5.18,32.87,1.14,2.25,41.44,28.76,1719.51,4.13,Sandy,3.1,Maize,Sowing,Kharif,Canal,Groundwater,0.7,No,7.47,Central
5.47,16.83,1.47,0.69,38.12,51.17,2407.55,5.89,Silt,10.87,Wheat,Sowing,Zaid,Sprinkler,Rainwater,9.87,Yes,64.93,West
6.55,15.02,1.25,0.8,15.95,55.83,463.1,7.44,Silt,8.02,Rice,Harvest,Kharif,Rainfed,Reservoir,6.61,Yes,50.05,North
4.88,42.58,0.9,1.81,36.85,34.85,2159.87,5.1,Clay,7.09,Wheat,Sowing,Kharif,Sprinkler,Groundwater,9.97,Yes,94.06,South
6.79,8.29,0.82,0.47,20.38,66.72,2171.27,6.56,Loamy,6.09,Rice,Vegetative,Rabi,Sprinkler,Rainwater,6.2,No,98.01,North
6.86,19.26,1.51,1.48,40.16,27.68,1198.5,4.7,Silt,6.73,Wheat,Harvest,Kharif,Canal,River,14.92,Yes,83.69,West
6.41,9.66,0.81,2.37,37.23,56.22,1284.53,6.37,Silt,11.8,Wheat,Flowering,Rabi,Rainfed,River,9.01,Yes,24.96,West
5.96,51.53,0.76,2.87,15.96,89.78,2360.82,8.52,Clay,9.22,Maize,Flowering,Zaid,Sprinkler,River,6.11,No,55.72,West
7.78,39.14,0.44,1.15,18.67,34.12,1313.57,4.67,Sandy,14.36,Maize,Flowering,Rabi,Sprinkler,Groundwater,8.88,Yes,91.82,Central
5.7,24.93,0.57,1.01,26.77,83.92,484.2,9.77,Sandy,16.17,Wheat,Vegetative,Kharif,Canal,Reservoir,8.69,Yes,13.2,South
5.09,31.28,0.72,0.89,12.02,51.68,2122.06,6.55,Silt,9.17,Wheat,Sowing,Kharif,Canal,River,9.94,Yes,37.72,South
7.97,40.57,1.03,2.74,16.92,57.81,630.58,4.79,Silt,18.28,Potato,Sowing,Kharif,Rainfed,Groundwater,4.99,No,0.43,North
5.7,47.03,0.46,3.19,39.14,94.49,1919.25,7.44,Sandy,17.99,Rice,Sowing,Zaid,Sprinkler,Reservoir,7.49,No,95.83,South
5.52,17.84,1.11,1.04,34.19,27.14,1230.89,10.84,Sandy,18.81,Cotton,Harvest,Rabi,Rainfed,Groundwater,11.46,No,105.81,North
6.08,10.8,1.44,1.77,34.34,34.88,2475.77,8.97,Clay,11.44,Potato,Vegetative,Kharif,Rainfed,Reservoir,3.13,No,77.02,East
5.3,41.13,0.59,1.8,34.84,58.06,1470.61,10.24,Sandy,3.27,Rice,Sowing,Zaid,Drip,Groundwater,1.33,Yes,35.09,West
7.05,26.99,0.99,0.79,23.94,41.98,1608.39,8.24,Sandy,10.31,Rice,Vegetative,Zaid,Sprinkler,River,5.49,Yes,26.62,North
8.01,47.78,1.41,3.19,32.49,32.44,1892.62,8.04,Silt,15.74,Potato,Vegetative,Kharif,Canal,Rainwater,6.69,Yes,70.21,South
7.59,53.91,0.92,1.83,35.84,25.98,2299.13,4.76,Clay,14.98,Sugarcane,Flowering,Kharif,Sprinkler,River,0.67,No,86.1,South
5.59,43.7,1.04,0.59,15.96,35.47,397.72,7.59,Loamy,6.6,Wheat,Harvest,Rabi,Canal,Rainwater,14.14,Yes,13.74,East
5.04,16.4,1.04,2.98,15.01,43.93,2274.92,7.5,Sandy,17.58,Rice,Vegetative,Kharif,Canal,River,3.6,No,118.44,Central
7.59,27.06,0.81,2.12,23.5,30.55,1934.42,9.54,Silt,11.16,Potato,Harvest,Zaid,Rainfed,Reservoir,2.92,No,99.8,South
7.53,28.74,0.95,3.49,12.77,39.3,1191.04,6.45,Loamy,2.1,Potato,Flowering,Rabi,Drip,Reservoir,6.34,Yes,76.29,South
7.42,58.74,0.44,3.21,32.99,26.24,948.35,4.91,Clay,1.21,Cotton,Flowering,Rabi,Rainfed,River,1.26,Yes,104.18,Central
5.95,47.34,0.98,0.59,21.33,53.79,1990.45,7.66,Silt,11.39,Potato,Flowering,Zaid,Canal,Reservoir,3.75,No,36.84,North
5.83,42.64,1.4,0.39,32.72,34.96,2481.99,9.68,Clay,8.7,Sugarcane,Flowering,Kharif,Drip,Groundwater,11.95,No,1.13,East
5.4,26.68,1.54,0.48,22.69,30.92,1047.89,4.61,Clay,13.56,Potato,Harvest,Kharif,Drip,Reservoir,11.62,Yes,100.15,West
6.0,16.97,0.3,2.65,24.91,37.45,1009.21,9.2,Clay,10.47,Sugarcane,Flowering,Zaid,Drip,Rainwater,13.0,Yes,106.51,East
5.95,49.91,1.33,0.81,20.4,46.59,1745.9,10.19,Silt,8.16,Wheat,Flowering,Rabi,Drip,Groundwater,1.36,No,48.83,Central
5.94,62.3,0.88,0.55,20.22,35.55,1040.13,5.0,Silt,17.9,Sugarcane,Harvest,Zaid,Drip,River,0.57,No,42.71,South
5.6,56.37,1.05,2.21,17.83,78.89,2338.83,8.55,Loamy,5.99,Potato,Vegetative,Zaid,Sprinkler,Rainwater,11.52,No,59.01,Central
5.26,49.27,0.38,0.34,16.66,73.28,320.63,9.71,Loamy,10.12,Rice,Harvest,Zaid,Rainfed,Groundwater,9.89,No,87.9,North
5.33,38.9,1.01,3.46,22.62,29.99,656.68,9.29,Silt,2.6,Wheat,Vegetative,Rabi,Drip,Groundwater,1.02,No,44.12,South
8.17,20.81,1.52,1.63,31.65,29.84,342.35,9.6,Clay,5.78,Sugarcane,Harvest,Zaid,Canal,Groundwater,5.3,Yes,15.05,East
6.17,28.85,0.73,0.63,13.58,70.29,123.95,5.12,Clay,15.75,Rice,Sowing,Kharif,Drip,Groundwater,7.84,Yes,81.4,West
4.82,59.07,0.9,2.92,18.34,50.19,1666.62,7.26,Loamy,15.6,Maize,Harvest,Rabi,Rainfed,River,6.71,No,2.45,West
5.45,41.83,0.72,2.76,12.88,40.06,394.77,6.79,Clay,11.69,Potato,Vegetative,Kharif,Sprinkler,Rainwater,3.02,Yes,17.74,North
5.99,18.31,0.52,1.62,35.18,51.42,1887.8,8.79,Loamy,0.64,Sugarcane,Sowing,Rabi,Canal,Groundwater,4.16,No,18.24,South
6.49,23.33,0.99,2.15,24.93,69.74,2448.34,10.24,Sandy,15.21,Wheat,Vegetative,Zaid,Rainfed,Reservoir,4.01,Yes,16.98,South
7.41,62.35,0.7,2.34,33.4,86.75,2447.44,6.57,Sandy,11.32,Potato,Vegetative,Zaid,Drip,Rainwater,5.1,Yes,57.21,Central
4.93,8.54,0.81,2.21,26.71,44.23,2185.68,5.57,Clay,10.99,Wheat,Sowing,Rabi,Rainfed,River,7.82,No,107.06,Central
5.99,41.94,0.59,1.37,16.35,80.3,687.4,5.37,Sandy,19.18,Maize,Harvest,Kharif,Canal,River,11.25,No,39.15,West
7.27,63.91,0.39,1.02,13.63,50.21,729.41,7.1,Clay,13.13,Cotton,Sowing,Rabi,Canal,Rainwater,0.59,Yes,16.96,North
5.48,49.03,0.37,3.28,14.71,92.77,1292.0,9.29,Clay,11.28,Maize,Flowering,Zaid,Rainfed,Rainwater,0.99,Yes,6.46,West
8.12,53.85,0.62,0.59,40.42,41.36,1047.38,5.63,Loamy,18.78,Sugarcane,Flowering,Rabi,Drip,Rainwater,11.45,No,33.74,North
5.97,42.83,1.07,3.31,36.07,73.41,2279.02,4.75,Silt,2.31,Sugarcane,Flowering,Rabi,Rainfed,Groundwater,10.65,No,30.31,South
6.25,34.96,1.38,0.95,29.71,67.76,2470.21,10.72,Clay,3.67,Maize,Flowering,Kharif,Canal,River,11.65,No,24.69,South
8.03,12.83,0.78,2.84,23.87,86.82,1445.75,4.08,Clay,11.43,Rice,Flowering,Zaid,Sprinkler,Reservoir,6.62,Yes,48.77,East
5.05,44.56,1.42,1.25,29.69,35.12,288.59,10.45,Clay,4.48,Potato,Sowing,Rabi,Canal,River,8.65,No,74.14,East
5.59,31.82,0.42,3.27,40.3,87.22,29.6,9.77,Loamy,14.63,Sugarcane,Flowering,Kharif,Rainfed,Groundwater,9.17,No,41.32,North
5.77,34.01,1.28,1.02,37.82,79.62,1992.01,6.53,Clay,17.59,Potato,Flowering,Zaid,Sprinkler,Groundwater,7.54,No,17.18,East
7.28,9.87,1.46,1.98,24.97,34.84,1803.95,10.14,Silt,6.21,Potato,Harvest,Rabi,Drip,Rainwater,6.09,No,118.82,West
8.19,55.79,1.55,1.85,36.34,41.44,18.39,7.48,Clay,3.35,Cotton,Vegetative,Zaid,Sprinkler,Reservoir,5.0,Yes,40.15,West
6.26,19.95,0.6,1.62,22.54,79.86,1115.9,5.95,Silt,3.92,Rice,Flowering,Rabi,Sprinkler,Groundwater,13.41,Yes,97.07,North
5.5,47.3,1.13,3.36,34.78,93.83,1085.99,7.11,Loamy,8.41,Wheat,Harvest,Zaid,Rainfed,Reservoir,14.93,Yes,93.5,East
5.33,33.83,0.67,0.39,24.9,86.46,2034.34,7.01,Silt,19.08,Maize,Flowering,Zaid,Sprinkler,Reservoir,13.53,Yes,8.66,Central
4.89,32.33,1.22,1.14,35.68,63.7,2371.13,7.01,Silt,18.21,Cotton,Harvest,Rabi,Sprinkler,River,9.66,No,37.78,West
7.78,24.22,1.14,0.31,41.03,43.16,423.07,7.4,Silt,18.39,Rice,Vegetative,Kharif,Sprinkler,Reservoir,14.3,No,85.06,West
7.17,46.41,1.5,0.76,36.58,74.26,852.76,9.39,Sandy,1.81,Rice,Harvest,Rabi,Drip,Rainwater,4.28,Yes,78.34,Central
6.68,20.75,1.56,1.47,17.09,35.46,621.71,9.24,Loamy,3.49,Wheat,Harvest,Kharif,Canal,River,5.53,No,32.87,East
7.15,8.94,1.56,0.51,15.16,53.02,2369.57,9.06,Loamy,4.05,Potato,Harvest,Rabi,Rainfed,Rainwater,7.25,Yes,61.15,West
6.06,11.41,1.32,1.09,19.82,90.41,2007.05,9.29,Silt,13.41,Cotton,Flowering,Rabi,Drip,Groundwater,13.86,Yes,46.11,East
5.22,9.63,1.51,1.04,27.56,76.88,1399.68,9.52,Sandy,18.54,Rice,Sowing,Rabi,Sprinkler,River,1.2,Yes,36.29,Central
5.13,60.04,1.39,0.3,34.83,40.61,434.54,8.34,Loamy,6.15,Cotton,Vegetative,Rabi,Rainfed,River,11.55,Yes,41.72,East
5.33,46.95,0.89,0.15,27.56,25.17,1271.51,6.55,Loamy,5.83,Cotton,Harvest,Zaid,Sprinkler,River,12.75,No,72.39,West
5.84,8.88,0.44,2.33,25.18,60.82,847.1,6.89,Sandy,3.54,Rice,Flowering,Kharif,Rainfed,Groundwater,2.78,Yes,47.89,East
6.2,58.28,0.47,1.94,20.26,79.05,1915.04,8.7,Loamy,14.63,Potato,Vegetative,Rabi,Canal,Rainwater,12.35,No,43.14,West
5.96,14.05,0.89,2.27,19.68,74.7,2080.76,10.09,Clay,19.01,Sugarcane,Harvest,Rabi,Rainfed,Groundwater,0.35,Yes,98.47,West
5.08,59.36,0.56,3.19,18.5,30.81,1621.56,8.44,Sandy,18.74,Potato,Sowing,Rabi,Rainfed,Reservoir,8.25,No,72.39,Central
7.99,50.84,1.18,1.47,21.43,55.09,1924.68,10.12,Sandy,14.2,Sugarcane,Vegetative,Zaid,Sprinkler,River,10.41,Yes,2.34,East
7.56,42.54,0.6,0.59,30.51,35.57,1923.11,8.53,Silt,13.99,Potato,Harvest,Rabi,Sprinkler,Rainwater,6.92,Yes,58.76,East
5.64,22.33,0.88,1.93,36.89,38.53,1207.98,5.44,Clay,1.34,Rice,Harvest,Kharif,Drip,Reservoir,1.82,No,39.34,Central
5.33,40.48,1.29,3.34,15.33,31.27,593.63,6.24,Clay,14.31,Maize,Sowing,Kharif,Rainfed,Groundwater,14.76,No,42.23,North
5.88,52.51,0.42,0.85,32.74,91.3,2274.67,5.49,Sandy,16.69,Potato,Sowing,Rabi,Canal,Reservoir,5.08,Yes,20.54,North
5.0,21.32,0.6,3.12,28.06,77.39,765.16,7.97,Loamy,15.42,Cotton,Vegetative,Zaid,Canal,Groundwater,11.6,Yes,51.03,East
7.45,51.0,1.26,2.25,21.41,37.5,1610.68,8.7,Loamy,6.6,Maize,Vegetative,Zaid,Rainfed,Groundwater,7.81,No,98.56,East
5.08,48.46,1.46,2.11,18.75,46.36,1356.29,7.43,Loamy,3.24,Potato,Flowering,Zaid,Rainfed,Groundwater,13.98,No,100.11,North
8.03,24.89,0.41,2.53,15.77,37.13,1204.65,5.26,Clay,8.46,Rice,Vegetative,Zaid,Rainfed,Groundwater,13.05,No,33.57,South
7.5,51.75,0.57,1.19,26.69,79.98,933.31,7.27,Silt,11.64,Maize,Harvest,Zaid,Drip,Reservoir,3.77,Yes,90.49,North
4.87,47.66,0.75,2.62,32.12,62.28,30.01,5.67,Loamy,1.2,Wheat,Harvest,Rabi,Drip,River,12.32,Yes,93.02,East
7.23,36.13,1.03,1.01,37.43,44.18,1568.59,8.0,Loamy,16.35,Cotton,Harvest,Rabi,Sprinkler,Rainwater,0.59,Yes,72.88,West
5.82,57.35,1.53,2.96,17.67,29.3,1231.65,5.0,Clay,15.46,Potato,Flowering,Zaid,Canal,Reservoir,2.84,No,8.23,Central
5.81,55.95,0.5,0.45,12.92,85.71,2270.1,9.87,Loamy,2.94,Sugarcane,Flowering,Zaid,Sprinkler,Groundwater,2.75,No,82.96,Central
6.42,33.84,1.22,1.75,30.54,85.17,585.93,10.47,Silt,14.86,Wheat,Vegetative,Rabi,Drip,Reservoir,7.68,Yes,89.33,West
8.07,49.03,0.64,1.2,27.73,82.86,1919.18,8.22,Clay,4.91,Rice,Sowing,Zaid,Sprinkler,River,8.18,No,73.77,West
6.53,50.18,1.33,1.11,33.19,51.52,1221.45,10.93,Sandy,1.92,Rice,Sowing,Zaid,Rainfed,Rainwater,2.95,No,41.04,North
5.38,23.74,1.32,2.42,12.74,73.7,2359.89,7.79,Sandy,16.22,Potato,Sowing,Zaid,Sprinkler,River,12.63,Yes,38.11,Central
7.53,64.81,1.18,0.25,29.74,65.38,764.8,8.3,Silt,10.9,Cotton,Flowering,Zaid,Drip,Groundwater,9.63,No,31.84,East
6.65,49.64,0.68,1.62,27.77,61.74,1342.69,8.89,Loamy,18.44,Rice,Flowering,Kharif,Rainfed,Groundwater,14.38,Yes,62.28,North
6.61,33.11,1.39,0.63,17.83,78.57,590.3,9.24,Loamy,12.82,Maize,Harvest,Kharif,Sprinkler,Reservoir,1.16,Yes,33.91,West
5.07,42.56,0.61,1.9,31.71,41.96,604.67,8.36,Loamy,14.75,Rice,Harvest,Rabi,Sprinkler,Reservoir,1.45,No,36.92,West
6.22,33.41,1.52,1.76,23.43,61.51,1559.53,9.06,Clay,2.89,Rice,Sowing,Zaid,Rainfed,River,5.87,No,34.81,Central
7.37,51.39,0.72,1.44,25.57,41.98,1009.58,9.78,Clay,3.84,Maize,Flowering,Rabi,Sprinkler,Reservoir,9.44,No,90.52,South
5.87,56.72,1.44,1.14,38.33,49.8,927.17,8.14,Sandy,13.63,Cotton,Flowering,Kharif,Sprinkler,Reservoir,4.18,Yes,32.36,West
7.78,61.73,1.34,2.5,14.38,42.45,393.95,5.82,Clay,9.41,Cotton,Vegetative,Rabi,Drip,Reservoir,10.49,No,68.49,South
5.25,20.43,0.75,0.46,34.43,60.03,234.75,4.55,Clay,3.85,Cotton,Vegetative,Kharif,Rainfed,Rainwater,1.55,Yes,83.86,East
4.88,57.33,1.43,2.65,20.76,71.37,1594.03,8.39,Loamy,7.29,Wheat,Vegetative,Kharif,Drip,Reservoir,2.72,Yes,15.35,East
7.83,35.28,1.34,2.83,17.38,71.89,1944.1,5.11,Sandy,11.51,Wheat,Vegetative,Kharif,Sprinkler,Rainwater,2.18,No,80.36,East
5.95,12.31,1.45,3.37,13.57,34.63,88.42,9.24,Clay,1.54,Sugarcane,Flowering,Kharif,Canal,Reservoir,14.01,No,111.6,Central
4.88,13.94,1.27,1.61,37.84,89.55,2419.3,5.45,Loamy,16.95,Sugarcane,Sowing,Kharif,Sprinkler,Rainwater,14.03,No,79.77,West
7.64,56.49,1.15,2.03,40.98,36.92,1705.55,7.17,Clay,7.63,Cotton,Vegetative,Rabi,Rainfed,Rainwater,6.86,No,37.99,Central
5.94,18.19,1.55,1.41,23.51,57.43,584.49,10.32,Silt,9.13,Wheat,Harvest,Zaid,Sprinkler,Reservoir,7.97,Yes,7.37,West
7.39,61.97,1.18,0.87,19.96,55.59,1528.8,8.68,Silt,2.59,Cotton,Sowing,Rabi,Canal,Reservoir,4.9,Yes,90.99,South
7.0,30.36,0.78,2.59,29.86,53.35,1417.19,6.14,Sandy,15.8,Rice,Harvest,Rabi,Drip,Groundwater,9.46,Yes,118.25,East
7.25,51.43,0.55,3.26,35.58,82.08,453.11,8.6,Silt,15.48,Rice,Vegetative,Kharif,Rainfed,River,12.81,Yes,28.72,Central
7.93,14.41,1.19,0.5,20.27,66.32,484.29,4.18,Loamy,0.82,Rice,Vegetative,Zaid,Rainfed,Groundwater,9.47,Yes,119.43,North
4.98,61.65,0.9,3.18,15.78,77.47,417.6,5.53,Silt,17.62,Potato,Sowing,Zaid,Rainfed,Rainwater,3.38,No,20.79,North
7.38,25.29,1.27,2.91,24.45,38.03,2462.63,5.7,Clay,15.61,Rice,Vegetative,Kharif,Rainfed,Rainwater,5.68,Yes,85.47,Central
6.5,58.87,1.48,0.19,19.82,64.58,1829.92,10.3,Sandy,6.2,Cotton,Sowing,Kharif,Rainfed,River,12.3,Yes,50.11,West
6.35,54.03,1.13,1.06,18.79,66.84,2167.35,8.47,Sandy,4.16,Wheat,Flowering,Rabi,Sprinkler,River,12.56,Yes,76.93,East
5.66,27.47,0.36,2.82,34.48,39.59,565.38,4.47,Clay,6.25,Maize,Vegetative,Kharif,Canal,Groundwater,5.9,Yes,100.68,North
7.09,38.19,0.69,1.28,13.69,46.78,1618.87,5.97,Sandy,18.95,Maize,Vegetative,Zaid,Rainfed,Rainwater,14.92,Yes,107.0,East
5.81,55.15,0.73,2.72,39.88,52.65,1101.16,8.16,Sandy,7.57,Cotton,Sowing,Rabi,Canal,River,3.87,Yes,94.19,North
6.65,21.27,0.75,0.84,31.31,91.22,791.82,10.02,Silt,13.01,Rice,Harvest,Rabi,Sprinkler,River,2.06,Yes,93.09,East
6.89,55.88,0.4,0.36,37.71,87.1,962.65,5.64,Sandy,1.05,Maize,Harvest,Kharif,Drip,Reservoir,14.82,No,4.48,South
6.33,45.03,1.07,1.08,22.78,64.69,1708.73,9.06,Silt,8.95,Rice,Flowering,Rabi,Sprinkler,Reservoir,8.51,No,99.27,West
5.34,57.88,1.22,2.36,38.7,78.28,1498.99,10.33,Sandy,0.95,Potato,Sowing,Rabi,Rainfed,Rainwater,6.82,Yes,30.42,South
7.78,8.61,0.74,1.59,28.76,72.88,963.3,8.86,Sandy,0.8,Potato,Sowing,Zaid,Sprinkler,Groundwater,10.9,Yes,96.5,Central
5.17,32.45,0.39,1.09,21.11,61.36,1469.17,9.89,Sandy,8.32,Wheat,Vegetative,Kharif,Rainfed,Rainwater,7.87,No,27.43,North
6.39,59.32,1.36,3.18,25.6,35.85,2129.34,8.44,Loamy,15.85,Wheat,Flowering,Rabi,Drip,River,4.44,No,16.74,West
7.49,33.98,0.52,2.44,18.4,50.13,1351.14,5.28,Loamy,8.8,Maize,Vegetative,Rabi,Rainfed,River,3.12,Yes,85.19,East
5.74,46.23,0.7,0.38,21.6,51.7,1419.97,9.12,Sandy,17.83,Maize,Sowing,Kharif,Drip,River,2.37,No,15.12,Central
7.71,60.58,0.37,2.89,13.32,61.53,207.13,5.08,Sandy,17.12,Wheat,Sowing,Kharif,Sprinkler,Reservoir,4.96,No,27.37,South
7.78,58.32,0.94,1.75,40.97,87.26,1550.89,9.85,Clay,13.72,Cotton,Flowering,Zaid,Sprinkler,Rainwater,4.97,Yes,110.47,Central
6.29,50.1,0.53,0.46,22.23,51.11,1403.07,5.53,Silt,5.16,Cotton,Harvest,Kharif,Canal,River,6.77,No,36.95,Central
4.98,45.3,1.48,1.11,31.1,86.28,2014.3,10.4,Loamy,8.96,Rice,Sowing,Kharif,Drip,Rainwater,5.35,Yes,48.88,East
6.62,24.63,1.6,0.54,17.02,34.01,1312.78,4.28,Silt,12.72,Maize,Harvest,Rabi,Drip,Groundwater,4.19,No,90.22,North
7.97,14.0,0.44,1.61,35.72,77.63,180.06,10.86,Silt,7.98,Wheat,Flowering,Kharif,Sprinkler,Reservoir,2.97,No,67.87,South
7.35,46.9,0.52,3.37,34.67,68.89,2167.7,7.89,Sandy,6.15,Rice,Sowing,Zaid,Rainfed,Groundwater,8.5,No,61.14,Central
7.11,32.74,1.03,0.21,23.38,87.68,1891.27,7.85,Loamy,10.66,Sugarcane,Flowering,Zaid,Rainfed,Groundwater,1.95,No,56.62,Central
7.07,37.77,1.15,2.84,20.06,54.25,812.82,10.12,Silt,5.54,Rice,Vegetative,Zaid,Canal,Reservoir,3.53,Yes,95.14,East
6.4,58.01,0.43,0.22,33.49,76.0,1639.59,6.91,Sandy,17.36,Rice,Sowing,Zaid,Rainfed,Groundwater,10.53,Yes,41.62,East
6.76,31.88,0.69,0.56,25.55,58.47,2057.5,4.2,Silt,0.78,Sugarcane,Vegetative,Kharif,Rainfed,Reservoir,6.4,No,4.02,North
7.9,14.83,1.0,3.11,39.62,48.12,574.64,9.84,Sandy,8.19,Potato,Harvest,Rabi,Canal,Rainwater,0.62,No,37.82,South
5.63,34.22,0.53,1.88,13.52,74.67,99.92,8.07,Loamy,9.36,Rice,Harvest,Zaid,Sprinkler,River,2.34,Yes,88.82,North
7.56,55.69,1.32,0.17,27.94,29.72,2294.17,5.02,Loamy,1.12,Cotton,Harvest,Zaid,Canal,Groundwater,0.91,Yes,93.58,South
7.03,46.93,0.79,0.32,38.15,86.87,1878.89,9.91,Clay,5.1,Cotton,Sowing,Zaid,Drip,River,7.21,No,95.95,West
5.26,52.78,0.63,1.87,38.96,85.22,846.36,10.78,Silt,12.7,Rice,Harvest,Zaid,Canal,Reservoir,13.29,Yes,87.35,North
5.23,49.71,1.34,0.5,17.23,76.15,1180.46,6.55,Sandy,4.09,Sugarcane,Harvest,Zaid,Canal,Groundwater,5.06,No,20.16,West
7.08,36.57,1.45,2.95,12.9,85.29,985.17,9.76,Loamy,15.07,Cotton,Harvest,Kharif,Canal,Reservoir,1.47,No,81.33,West
7.92,9.31,1.44,3.17,30.14,75.88,888.29,10.59,Loamy,1.83,Sugarcane,Harvest,Zaid,Canal,Groundwater,13.99,Yes,46.71,South
4.98,39.5,0.77,3.41,38.93,47.88,1642.63,8.07,Clay,3.64,Potato,Vegetative,Kharif,Canal,River,2.41,Yes,79.11,East
5.37,52.32,0.99,1.73,26.57,73.84,2326.49,6.69,Silt,14.34,Maize,Sowing,Kharif,Rainfed,Reservoir,8.84,Yes,117.53,West
4.97,42.75,0.87,0.8,37.87,94.56,1013.21,10.29,Loamy,9.36,Rice,Sowing,Zaid,Sprinkler,Reservoir,11.42,No,94.68,Central
6.93,19.13,1.41,0.32,24.36,69.14,1721.45,4.31,Silt,2.44,Sugarcane,Vegetative,Kharif,Canal,Groundwater,13.73,Yes,77.88,North
7.06,41.52,0.4,0.22,34.0,44.22,2378.03,6.14,Clay,6.56,Potato,Flowering,Kharif,Sprinkler,River,8.58,No,29.05,West
7.73,21.89,0.77,3.41,41.56,55.83,237.86,10.03,Clay,7.31,Maize,Harvest,Kharif,Canal,River,7.5,Yes,37.46,West
8.06,31.61,1.12,2.45,36.55,92.18,649.37,5.99,Sandy,1.92,Rice,Flowering,Zaid,Sprinkler,Reservoir,13.85,Yes,28.86,North
8.04,31.94,0.65,0.56,24.62,88.14,656.14,9.9,Clay,10.61,Sugarcane,Vegetative,Zaid,Rainfed,Groundwater,1.34,No,82.23,North
7.82,11.52,0.73,2.29,31.86,70.39,880.48,5.84,Silt,4.83,Maize,Harvest,Kharif,Rainfed,River,7.64,No,2.02,South
7.05,38.27,1.02,1.05,37.0,53.61,1848.1,5.42,Silt,19.48,Sugarcane,Flowering,Rabi,Rainfed,Rainwater,10.15,Yes,29.46,East
6.78,62.17,0.38,2.83,15.8,75.21,1122.5,9.48,Loamy,2.97,Sugarcane,Harvest,Rabi,Rainfed,River,5.82,Yes,73.99,Central
6.48,8.54,0.64,1.96,23.27,47.48,81.46,9.25,Sandy,4.24,Potato,Sowing,Kharif,Drip,Groundwater,9.34,Yes,77.64,East
6.83,33.38,1.28,1.55,30.48,55.39,1255.22,8.06,Silt,3.69,Wheat,Vegetative,Kharif,Rainfed,Groundwater,5.04,Yes,16.14,North
5.61,31.5,0.85,3.03,34.56,62.85,1978.85,10.56,Clay,12.88,Potato,Vegetative,Kharif,Rainfed,Reservoir,9.99,No,117.84,South
6.48,34.64,0.32,0.17,32.94,49.8,2453.78,10.17,Sandy,2.07,Wheat,Flowering,Zaid,Canal,Groundwater,10.42,Yes,14.31,South
7.81,27.62,1.16,2.73,32.57,84.01,197.32,10.56,Silt,13.45,Wheat,Sowing,Zaid,Canal,Rainwater,3.68,Yes,99.13,North
7.46,52.45,0.48,2.99,12.02,56.34,1234.78,8.88,Clay,7.23,Sugarcane,Vegetative,Kharif,Rainfed,River,14.86,Yes,10.56,East
7.23,25.23,1.21,0.46,18.78,63.45,1505.22,8.62,Sandy,5.03,Wheat,Vegetative,Kharif,Drip,Reservoir,2.31,Yes,41.42,Central
6.34,56.53,1.37,0.46,34.09,27.48,727.81,5.33,Clay,12.12,Cotton,Sowing,Zaid,Drip,Reservoir,2.42,Yes,28.59,West
7.59,42.67,0.74,1.95,28.18,25.68,2052.61,7.85,Sandy,4.49,Wheat,Flowering,Zaid,Rainfed,Reservoir,6.64,No,52.93,North
5.89,50.4,1.1,1.59,23.57,65.26,183.64,8.38,Sandy,5.51,Wheat,Sowing,Kharif,Drip,Rainwater,6.57,Yes,35.52,West
5.01,41.79,0.61,1.98,30.81,55.4,1056.03,7.93,Sandy,11.44,Sugarcane,Sowing,Rabi,Drip,Rainwater,1.37,Yes,17.87,East
